Title,Score,Directors,Actors,url
好家伙,8.2,简川訸,张译 / 李晨 / 杨新鸣 / 赵志君 / 王烈,https://movie.douban.com/subject/10726963/
李春天的春天,8.2,余淳,宋丹丹 / 李佳璇 / 李崇霄 / 李凤绪 / 许亚军,https://movie.douban.com/subject/5948622/
灵与肉,8.2,楼健,于小伟 / 孙茜 / 黄小蕾 / 林鹏 / 赵毅,https://movie.douban.com/subject/25923576/
老大的幸福,8.2,李路,范伟 / 孙宁 / 孟广美 / 金巧巧 / 周浩东,https://movie.douban.com/subject/4090606/
勇士之城,8.2,陈健,钟汉良 / 王力可 / 林永健 / 于荣光 / 杨烁,https://movie.douban.com/subject/24858430/
川军团血战到底,8.2,李舒,陶泽如 / 贾一平 / 崔波 / 胡可 / 王迅,https://movie.douban.com/subject/6839157/
绝密543,8.2,宋海波 / 王功,王聪 / 陈维涵 / 林永健 / 闫妮 / 顾宇峰,https://movie.douban.com/subject/27002013/
有你才幸福,8.2,王瑞,李雪健 / 陶慧敏 / 刘佩琦 / 李歌 / 徐百卉,https://movie.douban.com/subject/19899709/
我心灿烂,8.2,孙艳华,王志文 / 周野芒 / 郑铮 / 李昶 / 曹征,https://movie.douban.com/subject/20503538/
高粱红了,8.2,刘家成,朱亚文 / 甘婷婷 / 喻恩泰 / 王挺 / 于东江,https://movie.douban.com/subject/4287155/
妈妈的花样年华,8.2,余淳,宋丹丹 / 林永健 / 周冬齐 / 巴图 / 王彤,https://movie.douban.com/subject/10553110/
离幸福就差半步,8.2,张惠中 / 张猛,李乃文 / 汪洋 / 原雨 / 田雨 / 关小平,https://movie.douban.com/subject/6939559/
丑角爸爸,8.3,王硕,李保田 / 王晓晨 / 王同辉 / 李彧 / 王全有,https://movie.douban.com/subject/6601363/
永远的忠诚,8.2,张绍林,张国强 / 陶虹 / 吕中 / 魏宗万 / 张恒,https://movie.douban.com/subject/6439439/
铁血兄弟,8.2,何群,朱亚文 / 齐奎 / 刘向京 / 蒋恺 / 王诗蒙,https://movie.douban.com/subject/11632409/
步步惊心,8.1,李国立,刘诗诗 / 吴奇隆 / 郑嘉颖 / 袁弘 / 林更新,https://movie.douban.com/subject/5384548/
鬼吹灯之精绝古城,8.1,孔笙 / 周游 / 孙墨龙,靳东 / 陈乔恩 / 赵达 / 岳旸 / 王永泉,https://movie.douban.com/subject/26298935/
大嫁风尚,8.1,曾晓欣,乔振宇 / 杨紫 / 郭晓婷 / 巫刚 / 朱茵,https://movie.douban.com/subject/26377690/
匆匆那年,8.1,姚婷婷,杨玏 / 何泓姗 / 白敬亭 / 杜维瀚 / 蔡文静,https://movie.douban.com/subject/25840705/
情满四合院,8.1,刘家成,何冰 / 郝蕾 / 李光复 / 方子哥 / 魏小军,https://movie.douban.com/subject/26287786/
心术,8.1,杨阳,海清 / 吴秀波 / 张嘉译 / 韩雨芹 / 翟天临,https://movie.douban.com/subject/5916347/
暗黑者,8.1,周琳皓,郭京飞 / 李倩 / 经超 / 甘露 / 李岷城,https://movie.douban.com/subject/25835480/
