排名,电视剧名称,年份,评分,评价人数,导演,编剧,主演,类型,集数,单集片长,豆瓣网址
1402,锄奸,2010,5.5,174,张汉杰, 张晓亚,杜淳 / 于荣光 / 杨若兮 / 滕旋 / 张大静, 剧情 / 战争,34,40,https://movie.douban.com/subject/5337530/
1403,球爱酒吧,2014,5.5,178,尤明宇,,袁成杰 / 杨迪 / 王姿允 / 张语格 / 金世佳, 喜剧,12,30,https://movie.douban.com/subject/25908061/
1404,秦香莲,2011,5.5,158,胡储玺, 马广源 / 程曦 / 翁海鑫,袁姗姗 / 陈浩民 / 刘雪华 / 吕晶晶 / 寇振海, 剧情 / 古装,32,45,https://movie.douban.com/subject/6080848/
1405,酸甜苦辣小夫妻,2015,5.5,164,滕文骥 / 王为, 程然 / 邓景异,王雷 / 车晓 / 李心敏 / 孟秀 / 李晓峰, 剧情 / 家庭,30,,https://movie.douban.com/subject/25922867/
1406,假如幸福来临,2013,5.5,164,邵警辉, 徐磊,殷桃 / 李东学 / 刘雨鑫 / 毛俊杰 / 陆玲, 剧情 / 爱情,40,45,https://movie.douban.com/subject/25715094/
1407,怪咖啡,2014,5.5,115,朱伸,,柳小海 / 张天爱 / 包文婧 / 海清 / 黄海波, 剧情,60,30,https://movie.douban.com/subject/25857405/
1408,蓝蝶之谜,2013,5.5,85,梁凯程, 陈慧君 / 胡强 / 李嘉音,马德钟 / 唐一菲 / 湛雅书 / 瞿澳晖 / 李强, 剧情 / 悬疑,32,40,https://movie.douban.com/subject/10491653/
1409,首付,2012,5.5,81,李骏, 马德林,张铎 / 王阳, 剧情 / 爱情,30,45,https://movie.douban.com/subject/20451497/
1410,大江东去,2015,5.5,65,胡玫, 徐萌,邵汶 / 李依晓 / 赵楚纶 / 戚迹 / 于越, 剧情 / 战争,42,,https://movie.douban.com/subject/24849549/
1411,内线前传,2013,5.5,33,陶玲玲, 洪帆,孙耀威 / 孙菲菲 / 马德钟 / 吴京安 / 周庭伊, 剧情 / 爱情,32,,https://movie.douban.com/subject/20395157/
1412,芈月传,2015,5.4,64019,郑晓龙, 蒋胜男 / 王小平,孙俪 / 刘涛 / 方中信 / 黄轩 / 马苏, 剧情 / 古装,81,40,https://movie.douban.com/subject/21766654/
1413,爱情进化论,2018,5.4,11643,安竹间, 宝卿,张天爱 / 张若昀 / 许魏洲 / 何泓姗 / 赵东泽, 剧情 / 爱情,40,45,https://movie.douban.com/subject/27034586/
1414,偏偏喜欢你,2015,5.4,4877,吴锦源, 桐华,陈乔恩 / 贾乃亮 / 郑爽 / 黄宗泽 / 张云龙, 剧情 / 爱情,40,,https://movie.douban.com/subject/25926749/
1415,青丘狐传说,2016,5.4,8910,林玉芬, 王莉芝,古力娜扎 / 蒋劲夫 / 陈瑶 / 张若昀 / 王凯, 剧情 / 古装,37,45,https://movie.douban.com/subject/26301569/
1416,北上广不相信眼泪,2015,5.4,7959,李骏 / 李晓, 沈亢,朱亚文 / 马伊_ / 张兆辉 / 张可颐 / 侯京健, 剧情 / 爱情 / 家庭,44,42,https://movie.douban.com/subject/25926752/
1417,小楼又东风,2018,5.4,2668,吴家骀, 卢敏 / 黄琛 / 蒲维 / 王昊天,严屹宽 / 宋轶 / 朱梓骁 / 姚安濂 / 李欣聪, 剧情 / 爱情,46,45,https://movie.douban.com/subject/26844133/
1418,周末父母,2017,5.4,3529,王为, 费慧君 / 李晓亮,刘恺威 / 王鸥 / 张萌 / 朱泳腾 / 金俊秀, 剧情 / 家庭,40,45,https://movie.douban.com/subject/26715635/
1419,大宅门1912,2013,5.4,2008,郭宝昌, 郭宝昌,陈宝国 / 斯琴高娃 / 何晴 / 王志飞 / 张歆艺, 剧情 / 传记,35,44,https://movie.douban.com/subject/10437817/
1420,胜女的代价2,2013,5.4,1787,张博昱,,张翰 / 郑爽 / 江语晨 / 乔任梁 / 狄杰, 剧情 / 爱情,38,45,https://movie.douban.com/subject/11625228/
1421,不可思议的夏天,2014,5.4,2663,久保田哲史, 宫胁卓也 / 女里山桃花 / 政池洋佑,古川雄辉 / 张辛苑 / 龚蓓_ / 王传君 / 叶祖新, 剧情 / 奇幻,15,,https://movie.douban.com/subject/25938862/
1422,蜀山战纪2踏火行歌,2018,5.4,6656,黄伟杰 / 苏飞 / 何振华 / 马华干 / 梁国冠, 马炎 / 肖娴婧 / 张雨蒙 / 杨柳伊 / 黄伟杰,吴奇隆 / 雨婷儿 / 陈哲远 / 刘一_ / 聂子皓, 奇幻 / 武侠 / 古装,48,45,https://movie.douban.com/subject/26901397/
1423,箭在弦上,2012,5.4,2978,余明生, 九年,蒋欣 / 靳东 / 潘之琳 / 陈龙 / 郭明翔, 剧情 / 战争 / 灾难,42,45,https://movie.douban.com/subject/6796164/
1424,林师傅在首尔,2010,5.4,1120,余淳, 李晓明 / 田有刚,林永健 / 张瑞希 / 张佳宁 / 赵锦焘 / 丹琳, 剧情 / 家庭,30,40,https://movie.douban.com/subject/10518901/
1425,未婚妻,2013,5.4,668,陈慧翎, 陈慧翎,丹尼斯·吴 / 马思纯 / 陈彦妃, 剧情 / 爱情 / 家庭,36,40,https://movie.douban.com/subject/6999257/
1426,聊斋新编,2015,5.4,1148,黄祖权 / 蓝志伟 / 麦炳华 / 王虎, 陈志恒 / 晓毛,韩雪 / 陈龙 / 经超 / 乔振宇 / 柯佳_, 剧情 / 古装,48,,https://movie.douban.com/subject/24743024/
1427,刁蛮娇妻苏小妹,2010,5.4,303,邝业生,,郭晋安 / 董璇 / 董维嘉 / 魏骏杰 / 刘庭羽, 剧情,30,,https://movie.douban.com/subject/4176567/
1428,带刀女捕快,2011,5.4,295,邝业生, 陈志恒 / 彭艳雯 / 叶敏,欧阳震华 / 佘诗曼 / 姜鸿 / 王翔弘 / 宋春丽, 古装,34,,https://movie.douban.com/subject/5981295/
1429,我怀了你的孩子,2013,5.4,9946,郭彤, 唐浚,邵兵 / 郭家铭 / 徐洁儿, 爱情,50,25,https://movie.douban.com/subject/19962589/
1430,职场是个技术活,2017,5.4,1421,李木戈, 莲静竹衣,王耀庆 / 潘之琳 / 应采儿 / 魏千翔 / 王策, 剧情 / 爱情,56,45,https://movie.douban.com/subject/26108041/
1431,大唐女将樊梨花,2011,5.4,727,金鳌勋 / 黄祖权, 徐达初,秦岚 / 刘恺威 / 王妍苏 / 唐宸禹 / 方安娜, 剧情 / 爱情 / 奇幻 / 武侠 / 古装 / 鬼怪,36,45,https://movie.douban.com/subject/6790955/
1432,如果没有,2015,5.4,688,黄元达,,于莎莎 / 衣云鹤 / 杨_ / 梁超 / 崔志佳, 喜剧,10,10,https://movie.douban.com/subject/26581260/
1433,风云天地,2015,5.4,612,王晶, 王晶,汪明荃 / 刘恺威 / 赵雅芝 / 唐嫣 / 莫小棋, 剧情 / 家庭,38,40,https://movie.douban.com/subject/24872836/
1434,只因单身在一起,2015,5.4,552,尹尚浩,,郑元畅 / 汪东城 / 徐璐 / 张馨予 / 陈紫函, 爱情 / 悬疑,40,45,https://movie.douban.com/subject/26206968/
1435,新女婿时代,2012,5.4,465,王小康, 王静茹 / 谭昙 / 沈超,林永健 / 牛莉 / 何赛飞 / 李菁菁 / 何洁, 爱情 / 家庭,35,,https://movie.douban.com/subject/6968176/
1436,为了新中国前进,2010,5.4,283,桑华, 周文杨 / 卢新宇 / 刘宣萁,王宝强 / 李健 / 赵楚纶 / 张杨 / 陈捷,,22,,https://movie.douban.com/subject/3993572/
1437,超级大英雄,2015,5.4,130,周晓鹏, 冯_,汪东城 / 谢孟伟 / 胡洋 / 谢欣颖 / 任容萱, 喜剧 / 爱情 / 奇幻,60,25,https://movie.douban.com/subject/26351203/
1438,冰箱少女,2014,5.4,110,叶长青, 高菲 / 贡艳,王传君 / 郭晓婷, 科幻,3,,https://movie.douban.com/subject/25899575/
1439,我的野蛮女友,2012,5.4,828,蒋家俊, 崔锡珉 / 杜剑,彭于晏 / 张檬 / 张峻宁 / 冯媛甄 / 叶熙祺, 喜剧 / 爱情,28,45,https://movie.douban.com/subject/5919326/
1440,欢迎爱光临,2010,5.4,716,柯翰辰, 孙洁 / 乔安 / 三七,郑元畅 / 李菲儿 / 裴蓓 / 孙坚 / 卜学亮,,12,,https://movie.douban.com/subject/4889486/
1441,追捕,2010,5.4,603,林龙 / 郝琳, 郑颜柳,吴秀波 / 海清 / 邵兵, 剧情 / 动作 / 爱情,30,40,https://movie.douban.com/subject/5285671/
1442,那金花和她的女婿,2013,5.4,245,陈伟祥,,何赛飞 / 胡亚捷 / 何琳 / 曹翠芬 / 马晓灿,,37,,https://movie.douban.com/subject/10833921/
1443,新四大名捕,2011,5.4,170,尚洪武, 穆龙,安泽豪 / 崔林 / 李诚洁 / 李广斌 / 吴秀波, 剧情 / 动作 / 犯罪,30,,https://movie.douban.com/subject/10472294/
1444,邻居的诱惑,2015,5.4,185,延艺, 田有刚,牛莉 / 张国强 / 郑伟 / 洪剑涛 / 英壮, 剧情,26,45,https://movie.douban.com/subject/25754827/
1445,XGirl,2013,5.4,172,向灼, 田羽生 Yusheng Tian,周秀娜 / 李昕岳 / 王茗, 剧情 / 喜剧 / 动作 / 科幻 / 悬疑 / 犯罪,30,20,https://movie.douban.com/subject/24987408/
1446,毛泽东三兄弟,2016,5.4,151,李舒, 黄丹,王斑 / 唐国强 / 孙逊 / 吴迪 / 孙宁, 剧情 / 传记,30,,https://movie.douban.com/subject/25727237/
1447,我的左手右手,2013,5.4,126,刘一志, 南西,张少华 / 苏岩 / 林雨申 / 徐露 / 冯嘉怡, 剧情,35,,https://movie.douban.com/subject/10581281/
1448,疯狂办公室,2011,5.4,100,许美君,,孟茜 / 夏凡 / 大鹏 / 于莎莎 / 杨洋, 喜剧,10,,https://movie.douban.com/subject/6101721/
1449,火线英雄,2014,5.4,82,丁梦龙, 胡晓鹿,保剑锋 / 王喜 / 朱梓骁 / 田子田 / 弦子, 剧情,30,,https://movie.douban.com/subject/19997892/
1450,白云飘飘的年代,2015,5.5,73,高希希, 王功,殷桃 / 王超 / 杨树泉 / 颜世魁 / 牛莉, 剧情 / 战争,30,,https://movie.douban.com/subject/21327535/
1451,哈尔滨往事之风雷动,2013,5.4,68,姜凯阳, 姜凯阳 / 王露 / 习兮,涂松岩 / 王雷 / 陈丽娜 / 徐露 / 程煜, 剧情 / 历史,25,,https://movie.douban.com/subject/25698377/
1452,丝绸之路传奇,2015,5.4,66,王文杰, 景宜,阿孜古丽·热西提 / 梅丽古丽·艾买提 / 宋佳伦 / 任帅, 剧情,30,45,https://movie.douban.com/subject/26341107/
1453,裂变,2012,5.4,59,陈亚洲, 阴法勇 / 张丽 / 李太平,钱泳辰 / 蒋欣 / 于小磊 / 尹铸胜 / 侯天来, 剧情,38,,https://movie.douban.com/subject/10531193/
1454,爱的相对论,2012,5.4,60,庞好, 姜德新,罗晋 / 赵正阳 / 王希之 / 林京来 / 王媛可, 爱情 / 家庭,34,45,https://movie.douban.com/subject/11523245/
1455,水上游击队,2011,5.4,53,龚朝, 徐磊,于小伟 / 白冰 / 李佳_, 剧情 / 战争,35,,https://movie.douban.com/subject/5193698/
1456,憨妻的都市日记,2014,5.4,52,庞好, 周智勇,陶红 / 杨议 / 李崇霄 / 张蓓蓓 / 严敏裘, 剧情 / 爱情 / 家庭,32,,https://movie.douban.com/subject/19967795/
1457,侯天明的梦,2015,5.4,49,梦继, 王海_,柴碧云 / 吴佩柔 / 白恩, 剧情,30,,https://movie.douban.com/subject/25933291/
1458,欢乐颂2,2017,5.3,67000,简川_ / 张开宙, 袁子弹 / 阿耐,刘涛 / 蒋欣 / 王子文 / 杨紫 / 乔欣, 剧情 / 爱情,55,45,https://movie.douban.com/subject/26743573/
1459,青云志,2016,5.3,122180,朱锐斌 / 周远舟 / 刘国辉 / 朱少杰, 邵潇逸 / 张少微 / 张戬,李易峰 / 赵丽颖 / 杨紫 / 舒畅 / 王源, 奇幻 / 武侠 / 古装,55,45,https://movie.douban.com/subject/25823275/
1460,夏家三千金,2011,5.3,7832,沈怡, 张雅郡 / 克顿,唐嫣 / 张檬 / 戚薇 / 陈楚河 / 邱泽, 剧情 / 爱情 / 家庭,80,48,https://movie.douban.com/subject/4891786/
1461,鬼吹灯之黄皮子坟,2017,5.3,27577,管虎 / 费振翔, 冯骥 / 徐速 / 天下霸唱,阮经天 / 徐璐 / 郝好 / 刘潮 / 尚铁龙, 剧情 / 悬疑,20,35,https://movie.douban.com/subject/26859982/
1462,南方有乔木,2018,5.3,26102,林妍, 乔冰清 / 张爱敏 / 李文婷,陈伟霆 / 白百何 / 秦海璐 / 李现 / 白冰, 剧情 / 爱情,40,45,https://movie.douban.com/subject/26765222/
1463,活色生香,2015,5.3,12198,何澍培, 李亚玲,唐嫣 / 李易峰 / 舒畅 / 陈伟霆 / 张智尧, 剧情 / 爱情 / 古装,44,40,https://movie.douban.com/subject/25849012/
1464,深宫计,2018,5.3,11153,方俊华 / 梅小青, 林少枝 / 阮美凤,马浚伟 / 胡定欣 / 刘心悠 / 陈炜 / 张文慈, 剧情 / 爱情 / 古装,36,40,https://movie.douban.com/subject/26805351/
1465,泡沫之夏,2018,5.3,13964,于中中, 明晓溪 / 李田 / 贾彬彬,张雪迎 / 秦俊杰 / 黄圣池 / 陈欣予 / 黄德毅, 爱情,36,45,https://movie.douban.com/subject/26744053/
1466,将军在上,2017,5.3,13295,霍耀良 / 文杰 / 江洪敏, _辰公子,马思纯 / 盛一伦 / 丁川 / 王楚然 / 张峻鸣, 剧情 / 爱情 / 古装,60,45,https://movie.douban.com/subject/26808247/
1467,抓住彩虹的男人,2015,5.3,4244,吴锦源, 桐华,刘恺威 / 李东学 / 郑爽 / 刘雨欣 / 杨紫彤, 剧情 / 爱情,30,45,https://movie.douban.com/subject/25864161/
1468,特种兵之火凤凰,2013,5.3,4582,刘猛, 刘猛,徐佳 / 刘晓洁 / 安雅萍 / 程愫 / 杨舒, 剧情,46,40,https://movie.douban.com/subject/25745767/
1469,穆桂英挂帅,2011,5.3,2879,宫晓东, 张建广,苗圃 / 罗晋 / 张铁林 / 斯琴高娃 / 刘恩佑, 动作 / 爱情 / 古装,39,,https://movie.douban.com/subject/10438503/
1470,美丽的秘密,2015,5.3,3032,柯翰辰, 柯宜勤,宋茜 / 何润东 / 魏千翔, 爱情 / 音乐 / 歌舞,39,40,https://movie.douban.com/subject/26268696/
1471,单身公主相亲记,2010,5.3,2370,陈铭章, 顾奕 / 蔡德明 / 迷茶,林志颖 / 郭品超 / 赵子靓 / 陈彦妃 / 洪小铃, 剧情 / 爱情,30,45,https://movie.douban.com/subject/4858738/
1472,西游记,2010,5.3,2316,程力栋, 吴承恩 / 张平喜,费振翔 / 陈司翰 / 谢宁 / 牟凤彬 / 印小天, 剧情 / 动作 / 奇幻 / 冒险,52,42,https://movie.douban.com/subject/4236884/
1473,下一站，别离,2018,5.3,3447,潘越, 邓_瑜 / 马竞 / 巩智星,于和伟 / 李小冉 / 邬君梅 / 姚奕辰 / 谈莎莎, 剧情 / 爱情,40,45,https://movie.douban.com/subject/26761299/
1474,煮妇神探,2016,5.3,3250,吴锦源, 陈建忠,李小璐 / 贾乃亮 / 刘恩佑 / 黄宥明 / 傅迦, 剧情 / 悬疑,41,45,https://movie.douban.com/subject/26342341/
